;Judul;album;Lirik
26;Cosmic;Life Is But A Dream…;"This shining city built of gold, a far cry from innocence
There's more than meets the eye 'round here, look to the waters of the deep
A city of evil
There sat a seven-headed beast, ten horns raised from his head
Symbolic woman sits on his throne, but hatred strips her and leaves her naked
The Beast and the Harlot

She's a dwelling place for demons
She's a cage for every unclean spirit
Every filthy bird and makes us drink
The poisoned wine to fornicating with our kings
Fallen now is Babylon the Great

The city dressed in jewels and gold, fine linen, myrrh and pearls
Her plagues will come all at once as her mourners watch her burn
Destroyed in an hour
Merchants and captains of the world, sailors, navigators too
Will weep and mourn this loss with her sins piled to the sky
The Beast and the Harlot

She's a dwelling place for demons
She's a cage for every unclean spirit
Every filthy bird and makes us drink
The poisoned wine to fornicating with our kings
Fallen now is Babylon the Great

The day has come for all us sinners
If you're not a servant, you'll be struck to the ground
Flee the burning, greedy city
Lookin' back on her to see there's nothing around

I don't believe in fairy tales and no one wants to go to hell
You've made the wrong decision and it's easy to see
Now if you wanna serve above or be a king below with us
You're welcome to the city where your future is set forever

She's a dwelling place for demons
She's a cage for every unclean spirit
Every filthy bird and makes us drink
The poisoned wine to fornicating with our kings
Fallen now is Babylon the Great

She's a dwelling place for demons
She's a cage for every unclean spirit
Every filthy bird and makes us drink
The poisoned wine to fornicating with our kings
Fallen now is Babylon the Great"
27;Creating God;The Stage;"Your hazel-green tint eyes watching every move I make
And that feeling of doubt, it's erased
I'll never feel alone again with you by my side
You're the one and in you I confide more

And we have gone through good and bad times
But your unconditional love was always on my mind
You've been there from the start for me
And your love's always been true as can be

I give my heart to you
I give my heart 'cause nothing
Can compare in this world to you

And we have gone through good and bad times
But your unconditional love was always on my mind
You've been there from the start for me
And your love's always been true as can be

I give my heart to you
I give my heart 'cause nothing
Can compare in this world to you

I give my heart to you
I give my heart 'cause nothing
Can compare in this world to you"
28;Crimson Day;Hail To The King;"Lived through you
Safe with how we lived our lives
With how it all turned out
(But things are bound to change)
Uncovered lies, surfaced throughout
Will make you change your mind

Sometimes life is altered
Won't turn out right. Can't turn out right

When I see you, I can read it in your eyes
Fate misunderstood
(But things are bound to change)
Swallowed the lies, can't blame you for
Thinking with your heart

Sometimes life is altered
Break from the ropes your hands are tied
Uneasy with confrontation
Won't turn out right. Can't turn out right

I see my world crumble and fall, before my eyes
I know, I know
Dark will turn to light, in time I'll be alright
I know, I know
(I never imagined my life could turn out this way
So cold so black so alone)

Living goes by fast, catch your breath
And it will pass you by
And it won't last, to sulk with the memories you hold

Sometimes life is altered
Break from the ropes your hands are tied
Uneasy with confrontation
Won't turn out right. Can't turn out right

Sometimes life is altered
Break from the ropes your hands are tied
Uneasy with confrontation
Won't turn out right. Can't turn out right"
29;Critical Acclaim;Avenged Sevenfold;"Weekends on young and angry streets
We meet, drink until trouble found us there
Living life as without a care
We've had our fights, been black and blue
It's true, I've even gone to jail for you my friends
Bet your life that I'd do it again (I'd do it again)

(Until the end)

Don't change the way you think of me
We're from the same story
Life moves on, can't stay the same
For some of us, I'm worried, yeah

While some have gone their separate ways
There's some still caught up with the past instead
But move on, you're missing most of your life
They say it's hard to stay the same
When some fail, while other men seem to gain, but friends
I'll be with you here until the end

(Until the end)

Don't change the way you think of me
We're from the same story
Life moves on, can't stay the same
For some of us, I'm worried

We're all falling forward
With no signs of slow
Some moving faster
That's all that I wanted
I wanted

I know it's hard
It's passing by
Memories
Be out all night
So reminisce won't bring you back
Just look ahead and hold on tight

We're all falling forward
With no signs of slow
Some moving faster
That's all that I wanted
I wanted

Don't change the way you think of me
Oh yeah

Until the end
Until the end
Until the end
Until the end"
30;Crossroads;Diamonds In The Rough;"I've been traveling for so long
So lost 'til I stumbled upon
Two roads in front of me, I had to take my time
To the right I could see a church
I took a step in that direction first
But to the left there was a watering hole
Where they were whiskey drunk
And now that's where I wanna pray

The fight down here goes on and on

If I was perfect then this would be easy
Either road is plausible on both I could drown
I walk through the center with no rules to guide me
I realize it's difficult but now I can see

There's gotta be another way to go
A way that's much more feasible
A combination of both these lives
A central path without choosing a side
I make decisions one at a time
And no I never say I'm always right
I'm confident that when I stand on my own
You'll see the truest form of a man when I'm shining through

The fight down here goes on and on

If I was perfect then this would be easy
Either road is plausible on both I could drown
I walk through the center with no rules to guide me
I realize it's difficult but now I can see

Oh, I hear them now
All the religious rhyme

You're a sin, you're a sin, you're a sinner

The left isn't better
It's just more of the same
Condemning all these people for what they believe
I'll climb to the top of their mountain again

No harness up to save me this way
And the closer to the top I get
The more they take aim
But I'm not you

I may not be perfect but I've always been true
I may not be worthy in your eyes
Climb up from the bottom for the last time
The last one, the last one, the last time

If I was perfect then this would be easy
Either road is plausible on both I could drown
I walk through the center with no rules to guide me
I realize it's difficult but now I can see"
31;Dancing Dead;Diamonds In The Rough;"[M. Shadows and The Rev:]
Now I think I understand
How this world can overcome a man
Like a friend we saw it through
In the end I gave my life for you

[M. Shadows:]
Gave you all I had to give
Found a place for me to rest my head
While I may be hard to find
Heard there's peace just on the other side

[The Rev:]
Not that I could
Or that I would
Let it burn
Under my skin
Let it burn

[M. Shadows:]
Left this life to set me free
Took a piece of you inside of me
All this hurt can finally fade
Promise me you'll never feel afraid

[The Rev:]
Not that I could
Or that I would
Let it burn
Under my skin
Let it burn

I hope it's worth it
Here on the highway, yeah
I know you'll find your own way
When I'm not with you
So tell everybody
The ones who walk beside me, yeah
I hope you'll find your own way
When I'm not with you tonight

[M. Shadows and The Rev:]
I hope it's worth it
What's left behind me, yeah
I know you'll find your own way
When I'm not with you
So tell everybody
The ones who walk beside me, yeah
I know you'll find your own way
When I'm not with you tonight"
32;Danger Line;Nightmare;"Hide my face again, harbor in the shadows
Feel this weight of sin hammering away
Die - with the guilt of a thousand AWOL soldiers
Die - watch the scythe usher me astray

I can't go on this way
Not as I am today
The ugly side of me is strong

Take aim, a loaded gun.
Pull back on all who run.
A coward's truth inside the wrong.

This means war
This means war
This means war

Lash your tongue of bane
Carry me to nowhere
Mental holocaust
Battle never ends
Lie! Mask the pain
Of a child who's forsaken
Lie! To myself
Praise the new regime

I left me long ago
Reasons you'll never know
No one to miss me when I'm gone
With no more words to say
No argument to stay.
Another post I don't belong

This means war
This means war
This means war
This means war
This means war

No home to call my own
No finding someone new
No one to break the fall
No one to see me through
No name to carry on
No promise for today
No one to hear the call
No tattered flag to raise

Walk the razor's edge
Cut into the madness
Question all you trust
Buy into the fear
I see the man ripping at my soul now
I, I know the man
I know him all too well

There's nothing here for free
Lost who I want to be
My serpent blood can strike so cold
On any given day
I'll take it all away
Another thought I can't control

This means war
This means war
This means war
This means war
This means war"
33;Darkness Surrounding;Sounding The Seventh Trumpet;"With this ink in our skin we've sealed our fate
And the axe comes early (only naturally)
So what does that matter?
There's a bed of skeletons waiting for me on the other side
They're waiting for my next move (next fatal breath)
Human lives to me seem so unreal, can't see through the fog
(Nothing past a grey wall) see past the stereotype
Belief, structure built up in you
I'll tear you down and the one who created you

If they didn't have One how would they act?
If we didn't have hope how would we behave?
Would they still feel remorse if they slaughtered innocent beings?
Or is hope the only thing that keeps you sane?

A good friend once told me, you are our memory
Without them we equal nothing
And all I can see is the place I want to be
Suddenly my life was so free
Leaves at my feet, blown to the ground
Their echoes are reaching my ears
Night's coming fast, sun's going down
But keep away from me

Keep away from me
(It's hard, to keep me in this place)
Keep away from me
Keep away from me (Keep away from me)
Keep away from me
We may have created the beginning, mentally
We may have created the beginning, physically
To the end of our human existence

I see through you
The fear that's in your eyes

A good friend once told me, we are our memory
Without them we equal nothing
All I can see is the place I want to be
Timeless my life was so free
Leaves at my feet, blown to the ground
Their echoes are reaching my ears
Night's coming fast, sun's going down – confused
I don't know the answers but neither do you"
34;Dear God;Avenged Sevenfold;"Black enchanting eyes
Cut through my heart
With no regret or sign of life
They tear apart my pride
And cold runs through my veins
I feel their stare from miles
Haunting every step
And they won't stop hunting me down
Forget the time will come
When all around me's burned
And you'll still see me there
Asking where you went to
And what person brought you here
And why you left the burning children
Cold out in the night
And calling for you all alone

Dark in their hearts
I can feel it burn inside of me
Tormented young with no souls, haunting me
Pain in their lives all they know is misery
Take these chains away that are holding me down
(Holding me down)

They'll find you alone
And your desperate and villainous ways
Turning their hearts into stone
They seek more than vengeance
Look in their eyes your pain is their satisfaction
Look in their eyes and see the darkness take hold
Lives controlled by faith (waiting for)
Tired of your parade (waiting for)
No sign of fair chance (waiting for)
Burn for the rest of time (waiting)
Hear the haunting words (They'll find you alone)
Lost children with no heart are crying (Turning their hearts into stone)
And you're the lost mother they're calling
Go now, run and hide (seek more than vengeance)
I hear them crying at night (your pain is their satisfaction)
Outside when the planets are falling (for the rest of time)
They want to feel and know you hear them (Go now, run and hide)

Dark in their hearts
I can feel it burn inside of me
Tormented young with no souls, haunting me
Pain in their lives all they know is misery
Take these chains away that are holding me down
(Holding me down)

Go now
Run and hide
Eternal rest in time
Eternal rest in time"
35;Demons;Diamonds In The Rough;"Run away, I'm living with a hole inside
A piece of me that I have yet to find
Edge of reason, lines uneven, turn me off, feel the blood so cold
Like a product that was bought and sold, asking me for the impossible

I ain't waiting for a miracle, I ain't waiting for the world to change
Under my skin lives the reason, under my armor I lost it all

No more faith, no savior made of our designs
Fooled me before, I tell ya' not this time
Raped my body, lost my vision, lost my mind, I had to let it go
Another day living irrational, another day inside this dying soul

I ain't waiting for a miracle, I ain't waiting for the world to change
Under my skin lives the reason, under my armor I lost it all

There's something in your eyes
A part of me that I recognize
I wanna let you know
We'd be there if we could and it's alright
You taught me how to feel
It's no wonder I'd do anything
Tell me why'd you have to go
With the worst to come lost the best I know
Time - seems like we lost it all

Burn it all! Burn it to the fucking ground!
Believe the words that I don't want me around
Life revision, indecision, world collision, and heads will roll
With nothing left except the pain to show
Mental manic driven overflow

I ain't waiting for a miracle, I ain't waiting for the world to change
Under my skin lives the reason, under my armor I lost it all"
36;Desecrate Through Reverence;Waking The Fallen;"Two nights ago I was shot
A bullet sunk straight through my skull
A friend pulled the trigger that silenced me
No pain as I awoke, but dead
Seeing the face of the man
The time as he lays down his gun
I knew this was going to take place
White silence, so peaceful, so numb

No one knows the time they're changing
No one will see through

You're all gone to me (gone to me)
I've been pulled out to watch from my eternal sleep
Intuition and a warning to believe (I will believe)
Something was wrong and though I felt I had to stay
Moving on seemed to be somber bliss
Without one goodbye
I watch my mother shed tears

No, this gun has stopped time in its tracks
Has altered the course of my fate
Destiny is shattered and timeless
Closed eyes feel the cold wind's embrace

I'll watch you call, calling for me
You can't bring back time
Close your eyes or look away
Fate exposed, won't let me stay
Hope will fall tonight with broken wings
Descending entity in me

My voice has been taken from me
The more I listen, the more I have to say

(And taste the blood that she cries)
(And taste the blood that she cries)

I'll watch you call, calling for me
You can't bring back time
Close your eyes or look away
Fate exposed, won't let me stay
Hope will fall tonight with broken wings
Descending entity in me"
37;Doing Time;Hail To The King;"I wake up every morning, bright and early
Roll out of bed but I'm never quite alone
Tension is pulling me in all directions
And all of these problems use me as their own
Sometimes the pressure will just drive you crazy
At any time I could explode
I need some peace of mind, it's got me tired
Don't wanna lose it, but I'm turning down that road

I need a moment 'cause I've spread myself too thin
We all need a moment in our life
Work's hard, the days too long
And that's just where it begins
Tension has had us all this time

I sit in traffic every single morning
Just as I arrive, I'm slaving to the grind
Making the money so I feed my family
But I can't raise them, 'cause I ain't got the time
I got no free days on my busy schedule
I turn the page and it's the same
Don't like my situation, you don't either
Don't wanna look back scared, I'm working life away

I need a moment 'cause I've spread myself too thin
We all need a moment in our life
Work's hard, the days too long
And that's just where it begins
Tension has had us all this time

But every now and then
I drive alone
An open road
Hot summer day
A gentle breeze that feels alright
All alone
And I can't feel no pain
Only strength
Enjoy the sights
I feel alive
Relaxing here just feels alright
Far from home

I need a moment 'cause I've spread myself too thin
We all need a moment in our life
Work's hard, the days too long
And that's just where it begins
Tension has had us all this time"
38;Dose;The Stage;"Dead men, they celebrate
As the final chapter fades away
Cause they can't hide
We can see, their flesh is rotten
The band plays a hopeful tune
The champagne is poured as they socialize
The look in their eye
Hide in the light

Everything is paid for tonight
While at the party of the
Dead dancing in their graves
The drinks here are free
So relax
Enjoy the sight of all the
Dead dancing in their graves
And while the world that they built
Told them to change
Told them to listen
They just kept it the same
And now that midnight has come
I'm in a room watching the
Dead dancing in their graves

Bones covered up by suits
As the visible scars, they multiply
Kiss it goodbye
Too stubborn and I'll destroy
Tick, tock, the time bomb has been recognized
Been pressurized
Nowhere to hide
Swallowing light

Everything is paid for tonight
While at the party of the
Dead dancing in their graves
The drinks here are free
So relax
Enjoy the sight of all the
Dead dancing in their graves
And while the world that they built
Told them to change
Told them to listen
They just kept it the same
And now that midnight has come
I'm in a room watching the
Dead dancing in their graves

Feel, feel a coming strength
And now it's too late
To change

What you want is law
You crowd me with all that you stole
Oh, how the mighty fall
Yeah, yeah, yeah

Everything is paid for tonight
While at the party of the
Dead dancing in their graves
The drinks here are free
So relax
Enjoy the sight of all the
Dead dancing in their graves
And while the world that they built
Told them to change
Told them to listen
They just kept it the same
And now that midnight has come
I'm in a room watching the
Dead dancing in their graves

Feel, feel a coming strength
And now it's too late
To change

Feel, feel a coming strength
And now it's too late
To change

Feel, feel a coming strength
And now it's too late
To change

Feel, feel a coming strength
And now it's too late
To change"
39;Easier;Life Is But A Dream…;"There you are, you've come so far
Sunny days, the air tastes so sweet, flowers greet
Birds will sing you mean everything
You can be anything

More power
More pace
More money
More taste
More sex
More pills
More skin
More shills
Build tall
Build higher
Build far
Build wider
Build here
Build down
Build up
Build now

Well, look at the way you go
You're one in a million
And you know it shows
And we love you
Unto the mud

More wants
More needs
More hits
Morphine
More speed
More drive
More self
More time
Build out
Build fast
Build strong
Build vast
Build too
Build more
Build all
Build war

Look at the way you go
You're one in a million
And you know it shows
And we love you
Do unto the mud
Mud

Race to scale the body stack
Lay foot to face atop broken back
A failure here is a failure earned
So do unto the top
Do unto the end
Do unto the mud
Do

More power
More pace
More money
More taste
More sex
More pills
More skin
More shills
More wants
More needs
More hits
Morphine
More speed
More drive
More self
More time
Build tall
Build higher
Build far
Build wider
Build here
Build down
Build up
Build now
Build out
Build fast
Build strong
Build vast
Build, build
Build, build
Build, build
Build, build

Look at the way you go
You're one in a million
And you know it shows
And we love you
Look at the way that you choose
You know you'll never lose
And all that you are
It was all you deserved anyway
Sunny days

And we love you
And we love you
And we love you"
40;Eternal Rest;Waking The Fallen;"Caught up in this madness too blind to see
Woke animal feelings in me
Took over my sense and I lost control
I'll taste your blood tonight

You know I make you wanna scream
You know I make you wanna run from me baby
But know it's too late you've wasted all your time, yeah

Relax while you're closing your eyes to me
So warm as I'm setting you free
With your arms by your side there's no struggling
Pleasure's all mine this time

You know I make you wanna scream
You know I make you wanna run from me baby
But know it's too late you've wasted all your time

Cherishing, those feelings pleasuring
Cover me, unwanted clemency
Scream 'til there's silence
Scream while there's life left, vanishing
Scream from the pleasure unmask your desire
Perishing

We've all had a time where we've lost control
We've all had our time to grow
I'm hoping I'm wrong but I know I'm right
I'll hunt again one night

You know I make you wanna scream
You know I make you wanna run from me baby
But know it's too late you've wasted all your time

Cherishing, those feelings pleasuring
Cover me, unwanted clemency
Scream 'til there's silence
Scream while there's life left, vanishing
Scream from the pleasure unmask your desire
Perishing

Some live repressing their instinctive feelings
Protest the way we're built don't point the blame on me

Scream, scream, scream the way you would
If I ravaged your body
Scream, scream, scream the way you would
If I ravaged your mind

Cherishing, those feelings pleasuring
Cover me, unwanted clemency
Scream 'til there's silence
Scream while there's life left, vanishing
Scream from the pleasure unmask your desire
Perishing"
42;Fermi Paradox;The Stage;"He who makes a beast out of himself
Gets rid of the pain of being a man

Caught here in a fiery blaze, won't lose my will to stay
I tried, to drive all through the night
The heat stroke ridden weather, the barren empty sights
No oasis, here to see
The sand is singing deathless words to me

Can't you help me as I'm starting to burn? (All alone)
Too many doses, and I'm starting to get an attraction
My confidence is leaving me on my own (All alone)
No one can save me, and you know I don't want the attention

As I, adjust to my new sights
The rarely tired lights, will take me to new heights
My hand is on the trigger, I'm ready to ignite
Tomorrow might not make it, but everything's all right
Mental fiction, follow me
Show me what it's like to be set free

Can't you help me as I'm starting to burn? (All alone)
Too many doses, and I'm starting to get an attraction
My confidence is leaving me on my own (All alone)
No one can save me, and you know I don't want the attention

So sorry you're not here, I've
Been sane too long, my vision's so unclear
Now take a trip with me, but
Don't be surprised when things aren't what they seem

Caught here in a fiery blaze, won't lose my will to stay
These eyes won't see the same, after I flip today

Sometimes I don't know why, we'd rather live than die
We look up towards the sky, for answers to our lives
We may get some solutions, but most just pass us by
Don't want your absolution, 'cause I can't make it right

I'll make a beast out of myself
Gets rid of all the pain of being a man

Can't you help me as I'm starting to burn? (All alone)
Too many doses and I'm starting to get an attraction
My confidence is leaving me on my own (All alone)
No one can save me and you know I don't want the attention

So sorry you're not here, I've
Been sane too long my vision's so unclear
Now take a trip with me, but
Don't be surprised when things aren't what they seem

I've known it from the start, all
These good ideas will tear your brain apart
Scared but you can follow me, I'm
Too weird to live but much too rare to die"
43;Fiction;Nightmare;"As they search for blood,
All eyes descend on one.
Honest man in chains,
But that don't matter anyway.

My judgement day.

My flesh will feed the demon,
No trial, no case for reason.
I've been chosen to pay with my life.

Mad men define what mad is,
Turning witches and saints to ashes.
Rising masses marching to find heretic blood.

Impose your will on me,
'Til fire sets me free.
The flames of hell burn bright.
My fate decided by their lies.

Final demise.

My flesh will feed the demon,
No trial, no case for reason.
I've been chosen to pay with my life.

Mad men define what mad is,
Turning witches and saints to ashes.
Rising masses marching to find heretic—heretic blood.

Please, don't leave me.
Please, don't leave me like this.
I've walked a fragile line and I've fallen down.
Please, don't leave me.

My flesh will feed the demon now,
No trial, no case for reason.
I've been chosen to pay with my life.

Mad men define what mad is,
Turning witches and saints to ashes.
Rising masses marching to find heretic—heretic blood."
44;Flash Of The Blade;Diamonds In The Rough;"I've been thinking lots about my life and
How quick I'd wash it down the drain
Past tense the future, nothing matters now
I act on my own and I'm to blame
Living's a wicked dream, where things turn out all wrong
We're all so weak, no matter how strong, yeah

I tried running away from me
Convince me that I've grown, but I can't
Change so unnaturally. Demons. They follow me
I quit running away from me
Convinced that I have grown, but found out
All my reasons for insanity, all a part of me

I don't like that you're calling me a liar
I don't like that you found out I'm a snake
Been sneaking around for far too long now
I don't like how fast my intentions fade
Karma has beat me down, the worst is yet to come
Many mistakes and still I'm so young, yeah

I tried running away from me
Convince me that I've grown, but I can't
Change so unnaturally. Demons. They follow me
I quit running away from me
Convinced that I have grown, but found out
All my reasons for insanity, all a part of me

I can't
Count how many times
Awakened in fear, nightly
Palms sweating
Dreams
Of promises I've made
To no one but myself
Have been
Crushed daily

Don't lend me your hand
I can't trust myself
So how can you trust me

We've all made selfish bad decisions
We've all tried dishing out the blame
Convinced ourselves of our own actions
My problem is I'll never change
Been dealt some good cards that
I'll fold before it's time
Can't promise you that it's my last time, yeah

I tried running away from me
Convince me that I've grown, but I can't
Change so unnaturally. Demons. They follow me
I quit running away from me
Convinced that I have grown, but found out
All my reasons for insanity, all a part of me

Friends won't help you now
Hope lost gone too far
(Oh oh oh oh)

Prayers won't help you now
Hope lost gone too far
(Oh oh oh oh)

I'm scarred, yeah
Demons. They follow me, 'cause my insanity
I'm scarred, yeah
Demons. They follow me, 'cause my insanity
I'm scarred, yeah
Demons. They follow me, 'cause my insanity
I'm scarred, yeah
Demons. They follow me, 'cause my insanity

Demons. They follow me, 'cause my insanity

Demons. They follow me, 'cause my insanity"
45;Forgotten Faces;Sounding The Seventh Trumpet;"Staring at the carnage, praying that the sun would never rise
Living another day in disguise
These feelings can't be right, lend me your courage to stand up and fight, on tonight

Ooooo....
Stand up and fight

The fighting rages on and on, to challenge me you must be strong
I walk your land but don't belong, two million soldiers can't be wrong

It's no fun but I've been here before
I'm far from home and I'm fighting your war
(Not the way I pictured this, I wanted better things)
Some are scared others killing for fun, I shot a mother right in front of her son
(Take this from my consciousness, and please erase my dreams)

Fight for honor, fight for your life
Pray to God that our side is right
Even though we won, I still may lose
Until I make it home to you
I see our mothers filled with tears
Grew up so fast where did those years go?
Memories won't let you cry
Unless I don't return tonight

So many soldiers on the other side, I take their lives so they can't take mine
(Scared to make it out alive now murder's all I know)
Nobody tells me all the reasons we're here
I have my weapons so there's nothing to fear
(Another day, another life, but nothing real to show for)

Fight for honor, fight for your life
Pray to God that our side is right
Even though we won, I still may lose
Until I make it home to you
I see our mothers filled with tears
Grew up so fast where did those years go?
Memories won't let you cry
Unless I don't return tonight

Staring at the carnage, praying that the sun would never rise
Living another day in disguise
These feelings can't be right, lend me your courage to stand up and fight

Watching the death toll rise wondering how I'm alive
Stranger's blood on my hands, I have shot all I can
There are no silent nights, watching your brothers all die
To destroy all their plans with no thought of me
No thought of me, no thought of me

Ohhhhh.....

Walk the city lonely
Memories that haunt are passing by
A murderer walks your street tonight
Forgive me for my crimes, don't forget that I was so young
Fought so scared in the name of God and country"
46;G;Life Is But A Dream…;"Forgotten faces
Lost in yesterdays realm
Drained with confusion
Where did it all go?
Look into the past, look into their faces
Never, the thought of being time fucked
But now they're all gone and all that's left is this blank faced picture
Ninety percent, nothing was done, nothing accomplished
Coasting through life didn't seize the day
No one ever realized that they're already dead
By the time you realize, you'll be dead too
Without another chance to save the world
These things they're gone, you're gone, forgotten
Now your face in my picture frame. It's gone forever
Right before my very eyes
And just when I thought I made light of things
It slips away into darkness
My life passes now I see
Just what this world does hold for me
It's getting hard, harder to breathe
Am I out of time is that what this means?
Well that's what it means
That's what it means, you and me try to breathe
Now you realize
Your life flies by
Now I realize
My life, I die"
47;Game Over;Life Is But A Dream…;"Rise now and ever
Leave your memory 
Wake the ones and rise tonight 
Fallen souls we shine so bright 
Rise now and ever 
Leave your memory 
No one can touch us"
48;Girl I Know;Diamonds In The Rough;"I see you fading away from us
I'll miss you very much
Room with empty bottles, broken dreams
And pride still running high, always on your side

But I wanted more for you
You can't go on this way
And now I see it all fall through
We pray for better days

Stuck alone and scared
Throw your life away
And now choking on your pride
May be the only way

I don't want to leave you like this
We all tried to save you but missed
I still feel the hope on your road
Now come back to us like the days of the old

I still feel you there, trying to get on top
You'll always have my support, in my heart
People you've hurt
Friends that you've lied to
But we understand, and that's not you
Can't take the end of the road
I can see it now, for you
I'm scared, if I lose you, I'm not prepared
This time, if you die
I watch you, right before my eyes
Just trust me, and listen
You have no self control

This will take your life
(Will take your life)

Overdose and then indulge until you die
Wondering, we still ask the question why
Broken home, and then abandoned by your dad
And we are left the only family that you've ever had

Overdose and then indulge until you die
Wondering, we still ask the question why
Broken home, and then abandoned by your dad
And we are left the only family that you've ever had

I wanted more for you
You can't go on this way
And now I see it all fall through
We pray for better days

Stuck alone and scared
Throw your life away
And now choking on your pride
May be the only way

Help you see it through
Fight this for me and you
Reaching deep inside
Problems not just you is what we find
Our friendship makes it mine"
49;God Damn;The Stage;"What's the matter dear
Seems the ghost
Is in your stall
For a thousand years
Taured lived within us all
I've come from
Somewhere beyond

Lost in a world
Voyage in time
Shot through the worm
Scaling the vine

Here in '54
Tastes of napalm fill the sky
Axis wins the war
Seems the crop of our divide
I've slipped through
Bodies aligned

Lost in the world
Voyage in time
Shot through the worm
Scaling the vine

All that's me
And all that's you
All that's false
And all that's true
On the sea you sailed away
Another time
You'd surely stay
It's only fabric so it seems
Our intimate reality
We're living simultaneously
While parallel in possibilities

Lost in the world
Voyage in time
Shot through the worm
Scaling the vine

Lost in the world
Voyage in time
Shot through the worm
Scaling the vine"
50;God Hates Us;Nightmare;"Let's take a moment and break the ice
So my intentions are known
See I have pity in watching you suffer
I know the feeling of being damned alone
I've got a storybook of my own

Don't you see I am your pride
Agent of wealth
Bearer of needs?
(And you know it's right)
I am your war
Arming the strong
Aiding the weak
Know me by name
Shepherd of fire

Well I can promise you paradise
No need to serve on your knees
And when you're lost in the darkest of hours
Take a moment and tell me who you see
Won't tell you who not to be

Now you know I am your pride
Agent of wealth
Bearer of needs
(And you know it's right)
I am your war
Arming the strong
Aiding the weak
Know me by name
Shepherd of fire

Disciple of the cross and champion in suffering
Immerse yourself into the kingdom of redemption
Harden your mind through the chains of the divine
Make way the shepherd of fire

Through the ages of time
I've been known for my hate
But I'm a dealer of simple choices
For me it's never too late

I am your pride
Agent of wealth
Bearer of needs
(And you know it's right)
I am your war
Arming the strong
Aiding the weak

I am your wrath
I am your guilt
I am your lust
(And you know it's right)
I am your law
I am your star
I am your trust

Know me by name
Shepherd of fire"
51;God Only Knows;The Stage;"You've been breaking down for far too long
Far too many moons since you've felt well and strong
You see, you could say goodbye but you don't have to die
Not ever

Engineer the wires to your brain
Architect a code so you won't feel the pain
With your family by your side and vigor in your eyes forever
Live forever

I'm way up, a god in size
Beyond the reach of mortals I shed my human side
Farther, O' Father
I stare at my reflection, have I lost that boy inside?
Final paradigm

What's it really mean to be a man?
Think about your answer but please understand
While it's natural to fear, I'll make it disappear forever
I forever

I'm way up, a god in size
Beyond the reach of mortals I shed my human side
Farther, O' Father
I stare at my reflection, have I lost that boy inside?
Final paradigm

Singular I am

I have to question if these thoughts are mine
To live forever but did something in me die?
I'm clawing my skin but I can't feel it inside
I know the agony of pain would hurt so much better

I'm way up so far up
Have I lost myself tonight?
Father, O' Father
Have you lost that boy you used to know?"
52;Gunslinger;Avenged Sevenfold;"Shh... quiet, you might piss somebody off
Like me, motherfucker, you've been at it for too long
While you feed off others' insecurities
You stand in front of me and bite the hand that feeds

Self-righteousness is wearing thin
(Lies inside your head, your best friend)
Heart bleeds but not for fellow men
(Broken glass, your fake reflection)

I've had enough
It's time for something real
I don't respect the words you're speaking
Gone too far
A clone

So how does it feel to know that someone's kid
In the heart of America has blood on their hands
Fighting to defend your rights
So you can maintain a lifestyle
That insults his family's existence
Well, where I'm from we have a special
Salute that we aim high in the air
Towards all those pompous assholes
Who spend their days pointing fingers
(Fuck you)

Shh... quiet, you might piss somebody off
Like the heartbeat of this country when antagonized too long
I'll be damned if you count me in as part of your generous hypocrisy
Collecting enemies

Tabloid gossip queen, worthless man
(There's no need for us to bury you)
Selfish agenda once again
(Right this way, you've dug your own grave)

I've had enough
It's time for something real
I don't respect the words you're speaking
Gone too far
A clone

All the way from the east to the west
We got this high society
Looking down on their very foundation
Constantly reminding us that our actions
Are the cause of all their problems
Pointing their fingers in every
Direction, blaming their
Own nation for who wins the elections
They've never contributed a fucking thing to the
Country they love to criticize

Excuse the obscene, ignore the untrue
Depictions we see try and get through
Admitting mistakes can hurt
I'm not the last but I sure ain't the first

Shh... quiet you might piss somebody off

Self-righteousness is wearing thin
(Lies inside your head, your best friend)
Heart bleeds but not for fellow men
(Broken glass, your fake reflection)

I've had enough
It's time for something real
I don't respect the words you're speaking
Gone too far
A clone"
